Hou je graf tering bek eens!	Shut your bitchass mouth up.
Joh , tieft toch een eind op.	Fuck off.
Oke , leuk voor je.	Happy for you. (sarcastic)
Ik ga je moeder neuken.	I'm gonna fuck your mom.
Kun je mijn mes zien?	Can you see my knife?
Ik heb thuis nog meer geld liggen.	I've got more money at home.
Mijn vader is de baas van Nintendo.	My father is the boss at Nintendo.
Gaat het goed met je vader?	Is your dad doing alright?
Wil je dat zo houden?	Do you want to keep it that way?
Ik heb een cadeautje verstopt in je huis.	I have hidden a present in your house.
Wil je weten waar de bom ligt?	Do you want to know where the bomb is?
Ik ga een kip eten.	I'm going to eat a chicken.
